,ALARK,ALARK,ALARK,SAHOL,SAHOL,SAHOL,SASA,SASA,SASA,TOASO,TOASO,TOASO
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2004-09-27 00:00:00+00:00,1.601593017578125,1.601593017578125,1658445,2.947382926940918,2.947382926940918,6349993,0.0087059997022151,0.0087059997022151,12078780,3.2130320072174072,3.2130320072174072,3541747823
2004-09-28 00:00:00+00:00,1.6241509914398191,1.6241509914398191,1282942,2.921067953109741,2.921067953109741,9031557,0.0087059997022151,0.0087059997022151,6470575,3.2400319576263428,3.2400319576263428,1542636177
2004-09-29 00:00:00+00:00,1.6128720045089722,1.6128720045089722,2826884,2.9736990928649902,2.9736990928649902,5060159,0.0086540002375841,0.0086540002375841,17119371,3.3030331134796143,3.3030331134796143,2986897617
2004-09-30 00:00:00+00:00,1.5903140306472778,1.5903140306472778,999812,2.868436098098755,2.868436098098755,11926774,0.0086540002375841,0.0086540002375841,75528218,3.2400319576263428,3.2400319576263428,1860944789
2004-10-01 00:00:00+00:00,1.579035997390747,1.579035997390747,356201,2.736855983734131,2.736855983734131,18276057,0.0086540002375841,0.0086540002375841,31852950,3.132030963897705,3.132030963897705,1859314637
2004-10-04 00:00:00+00:00,1.601593017578125,1.601593017578125,363793,2.815804004669189,2.815804004669189,10653474,0.0084979999810457,0.0084979999810457,87063989,3.186031103134156,3.186031103134156,2169918158
2004-10-05 00:00:00+00:00,1.579035997390747,1.579035997390747,370576,2.763171911239624,2.763171911239624,8201761,0.0084469998255372,0.0084469998255372,12196586,3.132030963897705,3.132030963897705,2225710808
2004-10-06 00:00:00+00:00,1.5903140306472778,1.5903140306472778,1749252,2.815804004669189,2.815804004669189,18586889,0.0083950003609061,0.0083950003609061,10291222,3.2040319442749023,3.2040319442749023,5011855629
2004-10-07 00:00:00+00:00,1.6241509914398191,1.6241509914398191,1199736,2.868436098098755,2.868436098098755,14231039,0.0084979999810457,0.0084979999810457,17092362,3.2400319576263428,3.2400319576263428,3153563300
2004-10-08 00:00:00+00:00,1.6241509914398191,1.6241509914398191,4769109,2.8421199321746826,2.8421199321746826,14320511,0.0087569998577237,0.0087569998577237,144971893,3.294032096862793,3.294032096862793,2221494042
2004-10-11 00:00:00+00:00,1.6467089653015137,1.6467089653015137,1913566,2.868436098098755,2.868436098098755,13676979,0.0088609997183084,0.0088609997183084,188009457,3.33003306388855,3.33003306388855,5281302605
2004-10-12 00:00:00+00:00,1.6241509914398191,1.6241509914398191,602425,2.8421199321746826,2.8421199321746826,7670039,0.0087569998577237,0.0087569998577237,67652907,3.33003306388855,3.33003306388855,2124169925
2004-10-13 00:00:00+00:00,1.6467089653015137,1.6467089653015137,1747542,2.8421199321746826,2.8421199321746826,7857132,0.0088090002536773,0.0088090002536773,33936299,3.3660330772399902,3.3660330772399902,4458273376
2004-10-14 00:00:00+00:00,1.601593017578125,1.601593017578125,1252327,2.815804004669189,2.815804004669189,5342535,0.0089130001142621,0.0089130001142621,161894245,3.31203293800354,3.31203293800354,1438008357
2004-10-15 00:00:00+00:00,1.601593017578125,1.601593017578125,824955,2.7894880771636963,2.7894880771636963,6149933,0.0090169999748468,0.0090169999748468,144838142,3.2580320835113525,3.2580320835113525,2212117603
2004-10-18 00:00:00+00:00,1.6354299783706665,1.6354299783706665,482156,2.7894880771636963,2.7894880771636963,2866518,0.009379000402987,0.009379000402987,251901370,3.294032096862793,3.294032096862793,509861213
2004-10-19 00:00:00+00:00,1.6354299783706665,1.6354299783706665,4292460,2.815804004669189,2.815804004669189,8314244,0.0092240003868937,0.0092240003868937,71158477,3.31203293800354,3.31203293800354,1504059367
2004-10-20 00:00:00+00:00,1.6241509914398191,1.6241509914398191,1247489,2.7894880771636963,2.7894880771636963,4386929,0.00917199999094,0.00917199999094,25621648,3.2040319442749023,3.2040319442749023,2000108730
2004-10-21 00:00:00+00:00,1.6241509914398191,1.6241509914398191,451803,2.7894880771636963,2.7894880771636963,1138085,0.0090680001303553,0.0090680001303553,26680605,3.2040319442749023,3.2040319442749023,537720421
2004-10-22 00:00:00+00:00,1.6241509914398191,1.6241509914398191,474890,2.763171911239624,2.763171911239624,3660694,0.0090169999748468,0.0090169999748468,17288025,3.1140310764312744,3.1140310764312744,1197364652
2004-10-25 00:00:00+00:00,1.579035997390747,1.579035997390747,886496,2.736855983734131,2.736855983734131,2758328,0.0089649995788931,0.0089649995788931,23234984,3.060029983520508,3.060029983520508,1093088446
2004-10-26 00:00:00+00:00,1.5903140306472778,1.5903140306472778,296381,2.7105400562286377,2.7105400562286377,4518868,0.0089649995788931,0.0089649995788931,49866576,3.132030963897705,3.132030963897705,2817004555
2004-10-27 00:00:00+00:00,1.6241509914398191,1.6241509914398191,1541824,2.763171911239624,2.763171911239624,7584173,0.0089649995788931,0.0089649995788931,25551747,3.168030977249145,3.168030977249145,2857919146
2004-10-28 00:00:00+00:00,1.6354299783706665,1.6354299783706665,492630,2.815804004669189,2.815804004669189,2765383,0.0090169999748468,0.0090169999748468,35078537,3.222032070159912,3.222032070159912,1852427014
2004-10-29 00:00:00+00:00,1.6354299783706665,1.6354299783706665,0,2.815804004669189,2.815804004669189,0,0.0090169999748468,0.0090169999748468,0,3.222032070159912,3.222032070159912,0
2004-11-01 00:00:00+00:00,1.6467089653015137,1.6467089653015137,1531705,2.763171911239624,2.763171911239624,8873041,0.0089649995788931,0.0089649995788931,23221862,3.2580320835113525,3.2580320835113525,2449213529
2004-11-02 00:00:00+00:00,1.6692659854888916,1.6692659854888916,3668309,2.815804004669189,2.815804004669189,5708536,0.0090680001303553,0.0090680001303553,83348599,3.168030977249145,3.168030977249145,1901713766
2004-11-03 00:00:00+00:00,1.725659966468811,1.725659966468811,3391236,2.894752025604248,2.894752025604248,18696220,0.0091199995949864,0.0091199995949864,60854587,3.150031089782715,3.150031089782715,1965818697
2004-11-04 00:00:00+00:00,1.6805449724197388,1.6805449724197388,1182126,2.8421199321746826,2.8421199321746826,13656692,0.0090169999748468,0.0090169999748468,30718057,3.096029996871948,3.096029996871948,1090543922
2004-11-05 00:00:00+00:00,1.703102946281433,1.703102946281433,1414842,2.921067953109741,2.921067953109741,13486231,0.0089649995788931,0.0089649995788931,21216757,3.0240299701690674,3.0240299701690674,545919476
2004-11-08 00:00:00+00:00,1.691823959350586,1.691823959350586,477241,2.868436098098755,2.868436098098755,11126774,0.0088609997183084,0.0088609997183084,14777618,3.0060300827026367,3.0060300827026367,499849180
2004-11-09 00:00:00+00:00,1.6692659854888916,1.6692659854888916,996429,2.8421199321746826,2.8421199321746826,8494449,0.0088609997183084,0.0088609997183084,18759105,2.9340291023254395,2.9340291023254395,1791806066
2004-11-10 00:00:00+00:00,1.6579869985580444,1.6579869985580444,246941,2.815804004669189,2.815804004669189,4012894,0.0087569998577237,0.0087569998577237,14790518,2.8980278968811035,2.8980278968811035,1405596476
2004-11-11 00:00:00+00:00,1.6241509914398191,1.6241509914398191,934745,2.684223890304565,2.684223890304565,9304628,0.0086540002375841,0.0086540002375841,11633797,2.7360270023345947,2.7360270023345947,3413117438
2004-11-12 00:00:00+00:00,1.601593017578125,1.601593017578125,438870,2.5789599418640137,2.5789599418640137,24830369,0.0086540002375841,0.0086540002375841,21888941,2.7360270023345947,2.7360270023345947,2950218447
2004-11-15 00:00:00+00:00,1.6128720045089722,1.6128720045089722,0,2.6105399131774902,2.6105399131774902,0,0.0086019998416304,0.0086019998416304,0,2.7540268898010254,2.7540268898010254,0
2004-11-16 00:00:00+00:00,1.6128720045089722,1.6128720045089722,0,2.6105399131774902,2.6105399131774902,0,0.0086019998416304,0.0086019998416304,0,2.7540268898010254,2.7540268898010254,0
2004-11-17 00:00:00+00:00,1.579035997390747,1.579035997390747,771550,2.5052759647369385,2.5052759647369385,14969161,0.0084469998255372,0.0084469998255372,7691010,2.646025896072388,2.646025896072388,2451205836
2004-11-18 00:00:00+00:00,1.601593017578125,1.601593017578125,1342063,2.589487075805664,2.589487075805664,18952771,0.0085500003769993,0.0085500003769993,16064131,2.610025882720948,2.610025882720948,14061964713
2004-11-19 00:00:00+00:00,1.6128720045089722,1.6128720045089722,1351023,2.631592035293579,2.631592035293579,8087264,0.0087569998577237,0.0087569998577237,46125907,2.7000269889831543,2.7000269889831543,11561169398
2004-11-22 00:00:00+00:00,1.601593017578125,1.601593017578125,1205266,2.6105399131774902,2.6105399131774902,2567955,0.0088090002536773,0.0088090002536773,16831947,2.7000269889831543,2.7000269889831543,6238443687
2004-11-23 00:00:00+00:00,1.6128720045089722,1.6128720045089722,442915,2.621066093444824,2.621066093444824,8407780,0.0087059997022151,0.0087059997022151,17473370,2.7000269889831543,2.7000269889831543,6140647707
2004-11-24 00:00:00+00:00,1.601593017578125,1.601593017578125,624566,2.568434000015259,2.568434000015259,11655781,0.0087059997022151,0.0087059997022151,16558582,2.682025909423828,2.682025909423828,3637481522
2004-11-25 00:00:00+00:00,1.579035997390747,1.579035997390747,1031679,2.5052759647369385,2.5052759647369385,6595291,0.0086540002375841,0.0086540002375841,1909611,2.646025896072388,2.646025896072388,2529842862
2004-11-26 00:00:00+00:00,1.579035997390747,1.579035997390747,317241,2.494749069213867,2.494749069213867,5015075,0.0086019998416304,0.0086019998416304,12994227,2.610025882720948,2.610025882720948,3836538528
2004-11-29 00:00:00+00:00,1.5677570104599,1.5677570104599,511176,2.442117929458618,2.442117929458618,8386388,0.0084979999810457,0.0084979999810457,6686891,2.448024034500122,2.448024034500122,5395709362
2004-11-30 00:00:00+00:00,1.5564780235290527,1.5564780235290527,234201,2.389486074447632,2.389486074447632,8995227,0.0083429999649524,0.0083429999649524,3539083,2.4300239086151123,2.4300239086151123,3082979684
2004-12-01 00:00:00+00:00,1.5903140306472778,1.5903140306472778,673482,2.431591033935547,2.431591033935547,21628549,0.0083429999649524,0.0083429999649524,7167283,2.4840240478515625,2.4840240478515625,5512065078
2004-12-02 00:00:00+00:00,1.6241509914398191,1.6241509914398191,4313338,2.5052759647369385,2.5052759647369385,20091868,0.0083429999649524,0.0083429999649524,11399809,2.5020248889923096,2.5020248889923096,4208769047
2004-12-03 00:00:00+00:00,1.6128720045089722,1.6128720045089722,233203,2.557908058166504,2.557908058166504,19341305,0.008186999708414,0.008186999708414,10911039,2.448024034500122,2.448024034500122,2959379274
2004-12-06 00:00:00+00:00,1.6128720045089722,1.6128720045089722,605823,2.5789599418640137,2.5789599418640137,7949622,0.0082390001043677,0.0082390001043677,14539872,2.4120240211486816,2.4120240211486816,1314148947
2004-12-07 00:00:00+00:00,1.601593017578125,1.601593017578125,444883,2.568434000015259,2.568434000015259,2360905,0.0081359995529055,0.0081359995529055,5558129,2.376023054122925,2.376023054122925,1333446506
2004-12-08 00:00:00+00:00,1.6128720045089722,1.6128720045089722,695448,2.557908058166504,2.557908058166504,5547882,0.0079800002276897,0.0079800002276897,13263791,2.4300239086151123,2.4300239086151123,7268505179
2004-12-09 00:00:00+00:00,1.6241509914398191,1.6241509914398191,2878869,2.5158019065856934,2.5158019065856934,4034879,0.007668999955058,0.007668999955058,5806865,2.376023054122925,2.376023054122925,5044332338
2004-12-10 00:00:00+00:00,1.6354299783706665,1.6354299783706665,1188091,2.557908058166504,2.557908058166504,6300710,0.0077729998156428,0.0077729998156428,6749554,2.4120240211486816,2.4120240211486816,3193783281
