,ARCLK,ARCLK,ARCLK,KCHOL,KCHOL,KCHOL,OYAKC,OYAKC,OYAKC,PETKM,PETKM,PETKM
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2013-11-11 00:00:00+00:00,11.899999618530272,11.699999809265137,590894,9.260000228881836,9.039999961853027,4423054,4.380000114440918,4.389999866485596,57200,1.1994940042495728,1.171875,13916935
2013-11-12 00:00:00+00:00,11.449999809265137,11.5,738692,8.979999542236328,9.140000343322754,4545042,4.269999980926514,4.289999961853027,32651,1.1600370407104492,1.1600370407104492,23733297
2013-11-13 00:00:00+00:00,11.649999618530272,11.75,570014,9.039999961853027,9.0,3128706,4.289999961853027,4.260000228881836,28670,1.1639829874038696,1.1521459817886353,37364717
2013-11-14 00:00:00+00:00,12.0,12.0,619020,9.220000267028809,9.18000030517578,1585151,4.349999904632568,4.360000133514404,19934,1.1679290533065796,1.1600370407104492,23483266
2013-11-15 00:00:00+00:00,12.199999809265137,11.949999809265137,783209,9.300000190734863,9.199999809265137,1871463,4.380000114440918,4.349999904632568,24222,1.1679290533065796,1.1600370407104492,13613516
2013-11-18 00:00:00+00:00,12.149999618530272,12.25,466007,9.380000114440918,9.380000114440918,1451996,4.369999885559082,4.360000133514404,31827,1.179766058921814,1.2073860168457031,54048497
2013-11-19 00:00:00+00:00,12.300000190734863,12.100000381469728,582401,9.399999618530272,9.479999542236328,2391420,4.329999923706055,4.329999923706055,7254,1.1994940042495728,1.2152769565582275,47140131
2013-11-20 00:00:00+00:00,12.100000381469728,12.399999618530272,497503,9.399999618530272,9.5,4279133,4.300000190734863,4.329999923706055,15710,1.2113319635391235,1.223168969154358,17907071
2013-11-21 00:00:00+00:00,12.300000190734863,12.199999809265137,625145,9.479999542236328,9.520000457763672,2166695,4.329999923706055,4.329999923706055,7778,1.2152769565582275,1.2428970336914062,41681870
2013-11-22 00:00:00+00:00,12.25,12.300000190734863,712897,9.68000030517578,9.760000228881836,3185515,4.340000152587891,4.360000133514404,42398,1.2428970336914062,1.2547340393066406,28884133
2013-11-25 00:00:00+00:00,12.550000190734863,12.550000190734863,702252,9.9399995803833,9.800000190734863,1657082,4.440000057220459,4.420000076293945,12771,1.2547340393066406,1.231060028076172,19139264
2013-11-26 00:00:00+00:00,12.649999618530272,13.050000190734863,2010045,9.779999732971191,9.68000030517578,2804109,4.670000076293945,4.550000190734863,385786,1.2192230224609375,1.2073860168457031,12954121
2013-11-27 00:00:00+00:00,13.0,13.100000381469728,1725372,9.579999923706056,9.479999542236328,1863494,4.579999923706055,4.53000020980835,75103,1.2113319635391235,1.1994940042495728,12454743
