,GARAN,GARAN,GARAN,GUBRF,GUBRF,GUBRF,KRDMD,KRDMD,KRDMD,YKBNK,YKBNK,YKBNK
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2008-11-24 00:00:00+00:00,1.909999966621399,2.0,147640756,1.583003044128418,1.7109899520874023,4663886,0.2074609994888305,0.2171099931001663,18286741,1.1657429933547974,1.191504955291748,17339581
2008-11-25 00:00:00+00:00,2.049999952316284,2.0799999237060547,118850670,1.751407027244568,1.6840460300445557,6495621,0.2267590016126632,0.2267590016126632,28200591,1.2494709491729736,1.2108269929885864,21115403
2008-11-26 00:00:00+00:00,2.130000114440918,2.119999885559082,115860756,1.657101035118103,1.5627939701080322,5382617,0.2267590016126632,0.2171099931001663,10110888,1.2043869495391846,1.1657429933547974,15222649
2008-11-27 00:00:00+00:00,2.190000057220459,2.220000028610229,116209981,1.6503649950027466,1.7042540311813354,7755177,0.2219350039958953,0.2219350039958953,4155692,1.2108269929885864,1.2237080335617063,17777363
2008-11-28 00:00:00+00:00,2.2699999809265137,2.25,92375634,1.7177259922027588,1.6503649950027466,3772966,0.2267590016126632,0.2219350039958953,16774454,1.2430299520492554,1.2237080335617063,15274370
2008-12-01 00:00:00+00:00,2.2699999809265137,2.180000066757202,62039110,1.751407027244568,1.6368919610977173,5277810,0.2267590016126632,0.2171099931001663,12417815,1.217267990112305,1.1850650310516355,9694268
2008-12-02 00:00:00+00:00,2.0199999809265137,2.1700000762939453,108345975,1.4348069429397583,1.5358489751815796,10264461,0.2074609994888305,0.2122849971055984,13244774,1.10133695602417,1.191504955291748,23357053
2008-12-03 00:00:00+00:00,2.2100000381469727,2.190000057220459,86027605,1.5291130542755127,1.5627939701080322,9277388,0.2171099931001663,0.2171099931001663,4839250,1.2108269929885864,1.1979459524154663,13423553
2008-12-04 00:00:00+00:00,2.1600000858306885,2.220000028610229,135623607,1.5358489751815796,1.569530010223389,5699621,0.2171099931001663,0.2171099931001663,12852178,1.1979459524154663,1.217267990112305,12237801
2008-12-05 00:00:00+00:00,2.2100000381469727,2.130000114440918,106761181,1.5897389650344849,1.508905053138733,6576809,0.2171099931001663,0.2219350039958953,6160967,1.217267990112305,1.1979459524154663,3335705
2008-12-12 00:00:00+00:00,2.0999999046325684,2.1700000762939453,85575998,1.508905053138733,1.4886959791183472,2892364,0.2171099931001663,0.2219350039958953,26322710,1.1979459524154663,1.236588954925537,15789562
2008-12-15 00:00:00+00:00,2.240000009536743,2.309999942779541,102364117,1.5291130542755127,1.508905053138733,3108718,0.2315839976072311,0.2267590016126632,37552318,1.275233030319214,1.2623519897460938,14613396
2008-12-16 00:00:00+00:00,2.2799999713897705,2.4200000762939453,138565454,1.5021690130233765,1.5156409740447998,3869935,0.2315839976072311,0.236408993601799,11808554,1.3009949922561646,1.3396389484405518,18803514
2008-12-17 00:00:00+00:00,2.5199999809265137,2.539999961853028,127101373,1.5291130542755127,1.508905053138733,3084728,0.236408993601799,0.236408993601799,10832702,1.4169249534606934,1.410485029220581,14494272
2008-12-18 00:00:00+00:00,2.5199999809265137,2.559999942779541,49776958,1.5021690130233765,1.5627939701080322,11514159,0.2315839976072311,0.2267590016126632,3842573,1.4040440320968628,1.3782819509506226,18449019
2008-12-19 00:00:00+00:00,2.5799999237060547,2.5199999809265137,42580504,1.5291130542755127,1.508905053138733,2531670,0.2267590016126632,0.2267590016126632,5442658,1.3460789918899536,1.3589600324630735,16287010
2008-12-22 00:00:00+00:00,2.5799999237060547,2.619999885559082,31252783,1.5021690130233765,1.5021690130233765,2268747,0.2267590016126632,0.2267590016126632,12364891,1.3589600324630735,1.352519989013672,11811454
2008-12-23 00:00:00+00:00,2.5999999046325684,2.5999999046325684,27160489,1.508905053138733,1.5021690130233765,1015589,0.2219350039958953,0.2267590016126632,598120,1.320317029953003,1.3267569541931152,6305871
