,AKBNK,AKBNK,AKBNK,ASELS,ASELS,ASELS,FROTO,FROTO,FROTO,SISE,SISE,SISE
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2011-05-18 00:00:00+00:00,6.293649196624756,6.293649196624756,13372487,0.4986819922924042,0.4986819922924042,9465823,14.399999618530272,14.399999618530272,273237,2.2598860263824463,2.2598860263824463,6036314
2011-05-19 00:00:00+00:00,6.345096111297607,6.345096111297607,0,0.4986819922924042,0.4986819922924042,0,14.350000381469728,14.350000381469728,0,2.2916409969329834,2.2916409969329834,0
2011-05-20 00:00:00+00:00,6.345096111297607,6.345096111297607,11288022,0.4998579919338226,0.4998579919338226,10515700,14.100000381469728,14.100000381469728,201212,2.3551509380340576,2.3551509380340576,7039780
2011-05-23 00:00:00+00:00,6.32794713973999,6.32794713973999,8592748,0.4951539933681488,0.4951539933681488,4657444,13.949999809265137,13.949999809265137,1128102,2.3128108978271484,2.3128108978271484,5583681
2011-05-24 00:00:00+00:00,6.4822869300842285,6.4822869300842285,8977058,0.5010349750518799,0.5010349750518799,10793218,14.300000190734863,14.300000190734863,230709,2.275763988494873,2.275763988494873,4115145
2011-05-25 00:00:00+00:00,6.379393100738525,6.379393100738525,11233850,0.5057389736175537,0.5057389736175537,50784920,14.5,14.5,284398,2.3022260665893555,2.3022260665893555,5120415
2011-05-26 00:00:00+00:00,6.345096111297607,6.345096111297607,4818348,0.5116199851036072,0.5116199851036072,24159671,14.699999809265137,14.699999809265137,138774,2.360443115234375,2.360443115234375,5107669
2011-05-27 00:00:00+00:00,6.087862014770508,6.087862014770508,9881510,0.5057389736175537,0.5057389736175537,14037700,14.350000381469728,14.350000381469728,219117,2.206960916519165,2.206960916519165,7324981
2011-05-30 00:00:00+00:00,6.070713043212891,6.070713043212891,5316212,0.5045629739761353,0.5045629739761353,5536439,14.300000190734863,14.300000190734863,81155,2.2969329357147217,2.2969329357147217,8953562
2011-05-31 00:00:00+00:00,6.276500225067139,6.276500225067139,11999618,0.516323983669281,0.516323983669281,16820859,14.449999809265137,14.449999809265137,140598,2.360443115234375,2.360443115234375,39931627
2011-06-01 00:00:00+00:00,6.362244129180908,6.362244129180908,7187545,0.5151479840278625,0.5151479840278625,12185214,14.350000381469728,14.350000381469728,169966,2.222839117050171,2.222839117050171,6078935
2011-06-02 00:00:00+00:00,6.379393100738525,6.379393100738525,7498726,0.5092669725418091,0.5092669725418091,11216076,14.300000190734863,14.300000190734863,338015,2.1593289375305176,2.1593289375305176,7820674
2011-06-03 00:00:00+00:00,6.122159957885742,6.122159957885742,19980489,0.5057389736175537,0.5057389736175537,7218282,14.199999809265137,14.199999809265137,149545,2.122282028198242,2.122282028198242,4238635
2011-06-06 00:00:00+00:00,6.207903861999512,6.207903861999512,10290623,0.5104439854621887,0.5104439854621887,9967091,14.199999809265137,14.199999809265137,67437,2.206960916519165,2.206960916519165,8666452
2011-06-07 00:00:00+00:00,6.430840015411377,6.430840015411377,9154348,0.5116199851036072,0.5116199851036072,6390318,14.5,14.5,412939,2.217545986175537,2.217545986175537,7196883
